star planet planets temp mass radius metal period umag gmag rmag imag zmag jmag hmag kmag ESI
STAR-067 f 5 5904 1.291 1.82 0.025 41.02902 13.245 12.003 13.206 14.392 13.943 14.194 12.871 12.619 45.2
STAR-187 b 1 5210 0.85 0.8 -0.03 13.2217576 13.45 4.956 5.811 14.574 13.896 14.383 12.57 12.112 51.3
STAR-226 b 1 4828 0.78 0.73 0.01 6.01038429 12.828 28.04 31.159 15.032 14.166 14.889 12.587 12.106 33.1
STAR-147 b NA NA NA NA NA NA 12.551 6.712 7.668 14.546 13.935 14.32 12.746 12.426 21.9
STAR-499 b 2 5847 0.964 0.968 NA 4.431222 14.399 17.273 18.739 15.912 15.311 15.669 14.179 13.798 33.3
STAR-020 b 2 5360 0.855 0.758 NA 8.472382 14.457 28.04 31.159 15.945 15.271 15.78 14.006 13.554 56.5
STAR-265 b 2 5411 0.865 0.808 NA 2.633867 13.693 29.699 31.82 15.78 15.096 15.597 13.887 13.435 43.1
STAR-290 b 1 6035 1.06 1.02 -0.09 41.6979976 12.433 16.662 18.119 14.337 13.912 14.137 12.944 12.663 49.7
STAR-374 b 1 3519 0.33 0.33 -0.31 9.54927542 13.044 10.275 11.331 16.132 14.731 15.858 12 11.374 46.8
STAR-328 c 4 6228 1.16 1.42 -0.1 4.75793986 12.69 20.941 22.518 14.645 14.281 13.369 13.146 13.109 42.3
STAR-095 c 3 5797 0.97 0.876 NA 56.47542 13.394 20.941 22.518 14.782 14.242 14.641 13.055 12.689 52.9
STAR-326 b 1 4841 0.77 0.73 -0.04 20.50586978 12.157 29.699 31.82 16.241 15.343 16.042 13.842 13.25 40.6
STAR-614 b 1 5895 1.03 1.04 -0.01 11.36112327 13.117 28.04 31.159 15.026 14.581 14.866 13.538 13.243 38.6
STAR-315 b 1 5612 0.95 0.91 -0.01 7.65880414 14.306 28.04 31.159 15.062 14.483 14.843 13.326 12.92 38.9
STAR-569 b 1 5863 1.03 1.04 0.01 5.26341577 13.69 29.699 31.82 14.724 14.224 14.5 13.198 12.877 30.3
STAR-010 b 1 5770 0.99 1.16 0 8.09219642 13.437 16.662 18.119 12.522 11.821 10.128 11.731 0 45.8
STAR-293 b 1 5440 0.9 0.86 -0.01 21.81293494 12.642 3.229 5.17 16.187 15.492 15.942 14.204 13.775 38.6
STAR-271 b 1 5108 0.82 0.78 -0.03 11.3910025 12.331 2.505 3.3 16.474 15.611 16.326 14.121 13.627 48.7
STAR-608 b 2 5952 1.171 1.157 NA 3.341815 13.166 4.956 5.811 13.876 13.426 13.677 12.412 12.111 42.2
STAR-371 b 1 4751 0.75 0.71 -0.07 2.61703254 12.828 28.04 31.159 16.694 15.764 16.533 14.169 13.609 39.5
STAR-347 b 1 5777 0.99 0.98 -0.02 5.00731778 13.26 28.04 31.159 16.341 15.777 16.137 14.571 14.207 28
STAR-592 b 2 3631 0.49 0.46 -0.01 9.46781405 12.99 15.4 16.898 16.712 15.31 16.425 12.596 11.951 45
STAR-555 b 1 6155 1.15 1.22 0.03 12.91375431 14.212 28.04 31.159 15.037 14.614 14.847 13.59 13.291 39.7
STAR-348 b 3 5793 1.079 1.243 0.12 5.398763 13.833 27.357 29.423 10.41 9.926 10.213 8.974 8.662 37.4
STAR-153 b 1 5674 1 1.32 0.07 31.5922646 13.832 16.662 18.119 13.791 13.242 13.583 12.06 11.704 65.5
STAR-175 d 4 5602 1.082 0.904 NA 24.805787 12.836 29.699 31.632 15.632 15.164 15.448 14.08 13.717 46
STAR-236 b 1 5709 0.99 0.99 0.07 2.81650485 14.166 19.07 20.646 15.636 14.988 15.402 13.731 13.393 15.7
STAR-084 b 3 6171 NA 1.799 NA 5.374943 13.492 14.9 16.047 13.683 13.237 12.176 12.103 13.294 35.9
STAR-531 b 1 5773 0.99 0.99 0.02 85.35129427 13.132 30.225 31.82 15.599 15.02 15.423 13.846 13.499 65.6
STAR-605 b 1 5324 0.85 0.81 -0.09 124.4198398 13.497 29.699 31.82 16.322 15.699 16.142 14.464 14.039 65.5
STAR-397 c 3 5884 0.965 1.127 NA 27.508653 12.282 10.275 11.331 12.13 11.581 10.49 11.529 0 43.4
STAR-299 b 1 4671 0.7 0.67 -0.19 13.89961966 11.991 14.345 15.644 14.384 13.538 11.213 11.089 13.577 49.3
STAR-389 b 2 6112 1.1 1.09 -0.03 19.67416124 12.771 10.275 11.331 13.139 12.751 12.984 11.805 11.551 45.3
STAR-222 b 1 3722 0.53 0.51 0.07 56.0560538 12.591 19.677 21.265 17.455 16.093 17.217 13.445 12.778 79.6
STAR-137 b 2 4351 0.596 0.566 NA 11.008151 13.769 29.699 31.82 17.023 15.819 16.835 13.926 13.262 42.3
STAR-401 b 2 5948 1.09 1.208 NA 31.158799 12.38 12.003 13.206 14.25 13.796 14.083 12.739 12.471 40.5
STAR-239 b 3 4880 0.602 0.622 NA 13.98179 12.809 12.003 13.206 15.001 14.237 14.824 12.791 12.292 48.2
STAR-698 b 1 5970 1.07 1.09 0.03 3.12082923 13.366 6.712 7.669 15.217 14.749 15.015 13.724 13.403 17.6
STAR-545 c 2 5888 0.99 0.958 NA 11.637071 12.436 29.699 31.632 15.452 14.876 15.219 13.726 13.384 45
STAR-549 b 2 5404 0.82 0.892 NA 18.870227 13.331 15.4 16.898 14.864 14.232 14.642 12.945 12.483 39.7
STAR-458 d 4 6182 1.28 1.52 NA 22.342989 13.067 6.712 7.668 12.551 12.186 12.385 11.217 10.957 20
